ornament,voice,bar,pitch
R 0 S 2 S 2 S 1 E,2,87 13/16,60
E -3 E 1 E 2 E 2 Q,1,88 1/8,57
E 3 S -1 S -2 S,1,89 5/8,58
R 0 S 1 S 2 S 2 E,2,89 13/16,57
E -2 E -2 E -1 E 1 Q,3,90 1/8,48
E. -2 S -2 T -1 T 1 T 2 T 2 T 2 T 1 T 2 T -2 E,0,92 3/16,60
E -1 S -2 S -2 S 2 S 2 S 1 S 2 E,0,92 5/8,64
E -1 S 1 S 2 S -2 S 2 T -2 T -1 T 1 T 2 E,2,93 1/8,57
E -2 S -1 S -2 S 2 S 1 S 2 S 2 E,0,93 5/8,65
E -3 S 3 S -2 E 2 E 2 E,2,94 1/8,57
E -3 S 2 S 1 S -3 S 2 S 1 S 2 E,0,94 5/8,62
E -3 S 2 S 1 S -3 S 2 S 1 S 2 E,2,95 1/8,55
E -3 S 1 S 2 S -3 S 1 S 2 S 2 Q,2,95 5/8,57
R 0 S 1 S 2 S 2 Q,0,96 5/16,64
E -2 S -2 S -1 S -2 S 2 T 1 T 2 T 2 T 1 Q,0,97 1/8,67
E 2 T -2 T -1 T 1 T -1 E,2,98 1/8,65
E 2 S 2 S 1 S -1 S 1 T -1 T -2 T -2 T 2 H,2,98 5/8,62
E -1 S 1 S 2 S -2 S -1 S 1 S 2 E,3,99 5/8,45
E -2 S 2 S 2 S -2 S 2 T -2 T -2 T 2 T 2 E.,1,100 1/8,53
E. -2 S -2 E -1 E 1 E.,1,100 11/16,55
E. -2 S 2 S -2 S -2 S -1 S 1 E,3,101 3/16,48
E -3 S 2 S 1 S -3 S 2 S 1 S 2 E.,3,101 5/8,43
E. -4 S 2 E 2 E 1 Q,2,102 3/16,48
E 2 T -2 T -1 T 1 T -1 E,1,103 1/8,60
E 1 E,1,103 3/8,58
S -2 S 2 S 2 S -2 E -2 E,1,103 9/16,58
E -2 E,1,104 1/8,55
E 2 S -2 S -1 E,1,104 3/8,57
E 1 E,1,104 5/8,55
E -1 E,1,104 7/8,54
E. -1 S 1 S -1 S -2 S -1 S 1 E,0,105 3/16,69
E -1 S 1 S 2 S -2 S 2 T -2 T -1 T 1 T 2 E,2,105 5/8,57
E -3 S 3 S -2 E 2 E 2 E,2,106 1/8,57
E -2 S 2 S 1 S,0,106 5/8,67
S -1 S 1 T -1 T -2 T 2 T 1 E,0,106 13/16,69
E -1 S -2 S 2 E,0,107 1/8,69
E 1 E,0,107 3/8,70
E -1 S 3 S -2 E,2,107 5/8,62
R 0 E,2,108 3/8,55
E -1 S 1 S 2 S -2 S 2 T -2 T 2 T -3 T 1 E.,0,108 5/8,66
E. -2 S 2 S 2 S 1 S 2 S -2 E,3,109 3/16,53
E -4 S 2 S 2 S 2 S 1 S 2 S -2 Q,1,109 5/8,58
